,Field,Title,Categorty & Location,Link
144,Software Engineering,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13745&source=WEB_Search_INDIA
145,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=19267&source=WEB_Search_INDIA
146,Software Engineering,Python Developer,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16107&source=WEB_Search_INDIA
147,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKolkata, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14970&source=WEB_Search_INDIA
148,Consulting,Technical Consultant-Security Intel & Operations Consulting Svcs,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11396&source=WEB_Search_INDIA
149,Software Engineering,Data Engineer-Data Platforms,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8191&source=WEB_Search_INDIA
150,Infrastructure & Technology,Backend Developer,"Entry LevelEl Salto, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12712&source=WEB_Search_INDIA
151,Consulting,Technical Consultant-Security Intel & Operations Consulting Svcs,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11394&source=WEB_Search_INDIA
152,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14197&source=WEB_Search_INDIA
153,Data & Analytics,Data Engineer-Data Platforms (Japanese Bilingual),Entry LevelMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7891&source=WEB_Search_INDIA
154,Data & Analytics,Big Data Engineer-Google,"ProfessionalQuezon City, PH",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17584&source=WEB_Search_INDIA
155,Data & Analytics,Data Engineer-Data Platforms (Japanese Bilingual),Entry LevelMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=19254&source=WEB_Search_INDIA
156,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13738&source=WEB_Search_INDIA
157,Software Engineering,DevOps Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11043&source=WEB_Search_INDIA
158,Consulting,Senior Security Architect/Consultant - Microsoft Threat Management,"ProfessionalBudapest, HU",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11439&source=WEB_Search_INDIA
159,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKolkata, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14972&source=WEB_Search_INDIA
160,Software Engineering,Software Developer - FSD,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13618&source=WEB_Search_INDIA
161,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8220&source=WEB_Search_INDIA
162,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6819&source=WEB_Search_INDIA
163,Consulting,Advisory Delivery Consultant - App Runtime Specialist,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14852&source=WEB_Search_INDIA
164,Data & Analytics,TS/SCI Software Engineer,"ProfessionalChantilly, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12411&source=WEB_Search_INDIA
165,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8206&source=WEB_Search_INDIA
166,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17920&source=WEB_Search_INDIA
167,Software Engineering,"Full Stack Developer (Java, Node, Cloud)","ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=9217&source=WEB_Search_INDIA
168,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8223&source=WEB_Search_INDIA
169,Software Engineering,Application Developer-Adobe Commerce,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13154&source=WEB_Search_INDIA
170,Data & Analytics,Senior AI Engineer,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16943&source=WEB_Search_INDIA
171,Software Engineering,DevOps Developer,"Entry LevelKrakow, PL",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11657&source=WEB_Search_INDIA
172,Infrastructure & Technology,QA/Test Developer,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16495&source=WEB_Search_INDIA
173,Software Engineering,Backend developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8510&source=WEB_Search_INDIA
174,Infrastructure & Technology,Storage Developer,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11142&source=WEB_Search_INDIA
175,Infrastructure & Technology,Front-end Security Developer,"Entry LevelDallas, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16100&source=WEB_Search_INDIA
176,Infrastructure & Technology,Tooling and Automation Engineer,"ProfessionalCairo, EG",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=9326&source=WEB_Search_INDIA
177,Infrastructure & Technology,IBM Cloud Data Services PostgreSQL expert,"ProfessionalBudapest, HU",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6029&source=WEB_Search_INDIA
178,Infrastructure & Technology,DevOps Software Engineer,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7654&source=WEB_Search_INDIA
179,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8210&source=WEB_Search_INDIA
180,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13717&source=WEB_Search_INDIA
181,Software Engineering,Backend Developer,"ProfessionalGuadalajara, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11230&source=WEB_Search_INDIA
182,Software Engineering,Refactor Backend Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10501&source=WEB_Search_INDIA
183,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13728&source=WEB_Search_INDIA
184,Infrastructure & Technology,Quality Engineer - Automation,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12449&source=WEB_Search_INDIA
185,Software Engineering,Software Developer,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15221&source=WEB_Search_INDIA
186,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6783&source=WEB_Search_INDIA
187,Software Engineering,QA Test Automation,"ProfessionalPraha, CZ",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=9363&source=WEB_Search_INDIA
188,Data & Analytics,Data Engineer -Business Intelligence (Japanese Bilingual),ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13468&source=WEB_Search_INDIA
189,Consulting,AI developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14847&source=WEB_Search_INDIA
190,Infrastructure & Technology,System Software Development Lead Engineer (AI),"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8085&source=WEB_Search_INDIA
191,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7979&source=WEB_Search_INDIA
192,Software Engineering,Software Developer (Java Backend),"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17951&source=WEB_Search_INDIA
193,Infrastructure & Technology,Middleware Developer,"Entry LevelGuadalajara, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17341&source=WEB_Search_INDIA
194,Software Engineering,Data Engineer-Data Platforms-Azure,"ProfessionalKolkata, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11650&source=WEB_Search_INDIA
195,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=18569&source=WEB_Search_INDIA
196,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8225&source=WEB_Search_INDIA
197,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7985&source=WEB_Search_INDIA
198,Software Engineering,Back End Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15974&source=WEB_Search_INDIA
199,Consulting,AI Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14157&source=WEB_Search_INDIA
200,Software Engineering,Compliance Engineer,"ProfessionalAustin, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12377&source=WEB_Search_INDIA
201,Software Engineering,Backend Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10857&source=WEB_Search_INDIA
202,Infrastructure & Technology,Advisory Software Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15109&source=WEB_Search_INDIA
203,Infrastructure & Technology,QA/Test Developer - Storage,"Entry LevelEl Salto, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17081&source=WEB_Search_INDIA
204,Software Engineering,Advisory Software Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17472&source=WEB_Search_INDIA
205,Infrastructure & Technology,QA Automation Engineer,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17537&source=WEB_Search_INDIA
206,Data & Analytics,Data Engineer-Data Platforms-Azure,"Entry LevelKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12463&source=WEB_Search_INDIA
207,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13628&source=WEB_Search_INDIA
208,Software Engineering,Software Developer - Devops/Ansible,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=18291&source=WEB_Search_INDIA
209,Infrastructure & Technology,Infrastructure Specialist-AWS DevOps,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16770&source=WEB_Search_INDIA
210,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13727&source=WEB_Search_INDIA
211,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17653&source=WEB_Search_INDIA
212,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16778&source=WEB_Search_INDIA
213,Consulting,TeraData / DB2 Developer/Consultant,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17116&source=WEB_Search_INDIA
214,Consulting,AI Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16321&source=WEB_Search_INDIA
215,Software Engineering,Backend Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11141&source=WEB_Search_INDIA
216,Data & Analytics,Big Data Engineer-Google,"ProfessionalQuezon City, PH",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17554&source=WEB_Search_INDIA
217,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKolkata, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11643&source=WEB_Search_INDIA
218,Software Engineering,Network Backend Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8973&source=WEB_Search_INDIA
219,Software Engineering,Network Backend Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8971&source=WEB_Search_INDIA
220,Software Engineering,Backend Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11139&source=WEB_Search_INDIA
221,Data & Analytics,Data Engineer with Python,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15982&source=WEB_Search_INDIA
222,Software Engineering,Technical Architect,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16612&source=WEB_Search_INDIA
223,Software Engineering,Application Developer-Adobe Commerce,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13155&source=WEB_Search_INDIA
224,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15369&source=WEB_Search_INDIA
225,Data & Analytics,Data Scientist,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11318&source=WEB_Search_INDIA
226,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7006&source=WEB_Search_INDIA
227,Software Engineering,Senior Software Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10123&source=WEB_Search_INDIA
228,Software Engineering,Back-End Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10310&source=WEB_Search_INDIA
229,Software Engineering,Application Developer-Opensource,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12490&source=WEB_Search_INDIA
230,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17646&source=WEB_Search_INDIA
231,Research,Pre-Doctoral Researcher,"Entry LevelDublin, IE",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16138&source=WEB_Search_INDIA
232,Software Engineering,Software Developer - Assembler,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12639&source=WEB_Search_INDIA
233,Software Engineering,Java middleware software developer,"ProfessionalGuadalajara, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11016&source=WEB_Search_INDIA
234,Project Management,Product Manager  - Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15946&source=WEB_Search_INDIA
235,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15377&source=WEB_Search_INDIA
236,Infrastructure & Technology,OpenShift Cloud Developer for CloudPak,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12664&source=WEB_Search_INDIA
237,Data & Analytics,Big Data Engineer-Google,"ProfessionalQuezon City, PH",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17588&source=WEB_Search_INDIA
238,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17657&source=WEB_Search_INDIA
239,Consulting,Technical Consultant-Security Intel & Operations Consulting Svcs,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11400&source=WEB_Search_INDIA
240,Software Engineering,Software Developer - Python,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12181&source=WEB_Search_INDIA
241,Infrastructure & Technology,System Software Development Engineer (AI),"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8840&source=WEB_Search_INDIA
242,Infrastructure & Technology,Staff Physical Design Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10806&source=WEB_Search_INDIA
243,Infrastructure & Technology,Lead Network Software Engineer,"ProfessionalSofia, BG",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14643&source=WEB_Search_INDIA
244,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15375&source=WEB_Search_INDIA
245,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7008&source=WEB_Search_INDIA
246,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6966&source=WEB_Search_INDIA
247,Infrastructure & Technology,Application Developer-Open Source,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=19039&source=WEB_Search_INDIA
248,Data & Analytics,Data Engineer-Data Platforms-AWS,"Entry LevelKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14870&source=WEB_Search_INDIA
249,Infrastructure & Technology,System Software Development Lead Engineer (AI),"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8533&source=WEB_Search_INDIA
250,Cloud,AI Quality- MSc and PHD-Summer internship 2025- Research Lab,InternshipMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6426&source=WEB_Search_INDIA
251,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13622&source=WEB_Search_INDIA
252,Infrastructure & Technology,SRE Data Engineer,"ProfessionalDublin, IE",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15760&source=WEB_Search_INDIA
253,Cloud,Robotic Process Automation Intern,"InternshipPetaling Jaya, MY",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=9240&source=WEB_Search_INDIA
254,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8198&source=WEB_Search_INDIA
255,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=18576&source=WEB_Search_INDIA
256,Infrastructure & Technology,Site Reliability Engineer,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17129&source=WEB_Search_INDIA
257,Infrastructure & Technology,Build & Test Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12176&source=WEB_Search_INDIA
258,Infrastructure & Technology,IBM Cloud PowerVS Compute SRE,"ProfessionalHeredia, CR",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13821&source=WEB_Search_INDIA
259,Data & Analytics,Big Data Engineer-Google,"ProfessionalQuezon City, PH",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17573&source=WEB_Search_INDIA
260,Infrastructure & Technology,Hardware Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12053&source=WEB_Search_INDIA
261,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7991&source=WEB_Search_INDIA
262,Software Engineering,System Software Development Engineer (AI),"ProfessionalAustin, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12125&source=WEB_Search_INDIA
263,Software Engineering,DevOps Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10595&source=WEB_Search_INDIA
264,Software Engineering,Data Engineer-Data Platforms-AWS,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15538&source=WEB_Search_INDIA
265,Data & Analytics,Data Engineer-Data Platforms-AWS,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12896&source=WEB_Search_INDIA
266,Software Engineering,Data Engineer-Data Platforms-Azure,"ProfessionalKolkata, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14324&source=WEB_Search_INDIA
267,Data & Analytics,Data Engineer-Data Platforms-AWS,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15932&source=WEB_Search_INDIA
268,Infrastructure & Technology,Java middleware software developer,"ProfessionalGuadalajara, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17073&source=WEB_Search_INDIA
269,Data & Analytics,Data Engineer -Business Intelligence (Japanese Bilingual),ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15134&source=WEB_Search_INDIA
270,Software Engineering,Data Engineer-Data Platforms,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8193&source=WEB_Search_INDIA
271,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6962&source=WEB_Search_INDIA
272,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6963&source=WEB_Search_INDIA
273,Infrastructure & Technology,Back End Developer (GSA),"ProfessionalEl Salto, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=18823&source=WEB_Search_INDIA
274,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17655&source=WEB_Search_INDIA
275,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=19790&source=WEB_Search_INDIA
276,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8231&source=WEB_Search_INDIA
277,Infrastructure & Technology,SAP Certification- PowerVS Automation,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12142&source=WEB_Search_INDIA
278,Infrastructure & Technology,CNSA Developer,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14543&source=WEB_Search_INDIA
279,Data & Analytics,Data Engineer-Data Platforms-AWS,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15688&source=WEB_Search_INDIA
280,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalMysore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=18692&source=WEB_Search_INDIA
281,Infrastructure & Technology,IBM Cloud Data Services MongoDB expert,"ProfessionalBudapest, HU",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6024&source=WEB_Search_INDIA
282,Infrastructure & Technology,Retail POS Tester - Onsite,"ProfessionalCalgary, CA",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17791&source=WEB_Search_INDIA
283,Infrastructure & Technology,Backend Developer,"ProfessionalTucson, US",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12961&source=WEB_Search_INDIA
284,Software Engineering,Software Developer,"ProfessionalAhmedabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14353&source=WEB_Search_INDIA
285,Data & Analytics,Data Engineer-Data Platforms,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12466&source=WEB_Search_INDIA
286,Infrastructure & Technology,Linux Software performance,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=6062&source=WEB_Search_INDIA
287,Infrastructure & Technology,Staff Physical Design Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10805&source=WEB_Search_INDIA
288,Consulting,Delivery Consultant – Technology Expert Labs,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14638&source=WEB_Search_INDIA
